estrategia,C,f1_macro_train,f1_macro_test,accuracy_train,accuracy_test,brecha
Softmax,0.001,0.513238359915244,0.5076700227536569,0.6648631077836149,0.6603472863014848,0.005568337161587111
One-vs-Rest,0.001,0.5381784666916635,0.5309849828734198,0.732496565898057,0.7268685512960322,0.0071934838182436955
Softmax,0.01,0.5173770059672251,0.5132570692663503,0.6702213553954722,0.6675614461874004,0.004119936700874849
One-vs-Rest,0.01,0.5409990499317316,0.535332756165353,0.7325594807428146,0.7273299219864106,0.005666293766378616
Softmax,0.1,0.5172856769005316,0.5122500109596069,0.6705044721968815,0.6664709336465061,0.0050356659409247495
One-vs-Rest,0.1,0.5423169756390839,0.5353959931046108,0.7341742950915935,0.7282107205771328,0.006920982534473041
Softmax,1.0,0.5177055222708592,0.5129366774395359,0.6711545922593769,0.6676453317674692,0.004768844831323338
One-vs-Rest,1.0,0.5421890337532494,0.5349506016671779,0.7340589512095379,0.7276235215166513,0.007238432086071556
Softmax,10.0,0.5174809402834308,0.5130547928840795,0.670756131575912,0.667729217347538,0.004426147399351321
One-vs-Rest,10.0,0.5422296725983705,0.5350650586430457,0.7343420680109471,0.7275396359365826,0.007164613955324861
